lfdn;v_300;v_23;v_3;v_1;v_2;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_21;v_22;v_24;v_25;v_26;v_27;v_28;v_29;v_34;v_35;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_44;v_47;v_45;v_46;v_51;v_52;v_59;v_60;v_61;v_62;v_63;v_64;v_65;v_66;v_67;v_76;v_73;v_79;v_68;v_70;v_71;v_74;v_78;v_77;v_75;v_69;v_72;v_80;v_81;v_87;v_92;v_88;v_91;v_83;v_93;v_89;v_94;v_90;v_84;v_86;v_82;v_85;v_95;v_96;v_97;v_98;v_99;v_100;v_101;v_102;v_303;v_103;v_104;v_105;v_343;v_344;v_345;v_346;v_347;v_348;v_349;v_350;v_351;v_110;v_108;v_106;v_109;v_107;v_111;v_112;v_113;v_158;v_159;v_160;v_161;v_162;v_163;v_164;v_165;v_166;v_167;v_168;v_170;v_171;v_169;v_172;v_173;v_174;v_175;v_176;v_177;v_178;v_179;v_180;v_181;v_182;v_183;v_184;v_185;v_186;v_187;v_188;v_189;v_190;v_191;v_192;v_193;v_246;v_248;v_250;v_252;v_254;v_277;v_278;v_279;v_280;v_281;v_282;v_283;v_284;v_285;v_286;v_194;v_297
30;English;Japan;7;Agriculture;NotAnswered;Software-intensive embedded systems;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;No;Other (please specify);Observer;0;No;Main contractor (main responsible for the development project);NotAnswered;Rather agile;Very good;NotShown;Since the application that the project developed is a build-to-order manufacturing system, all features that the application provides are ones that a customer really requires.  ;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Project Lead / Project Manager;NotAnswered;We do not document requirements.;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests, but do not further update our requirements specification once formally accepted.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;Currently we can provide what customers requires but we do not know whether these are the best solutions or not.;Good requirements elicitation leads to next order.;NotAnswered;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Does not apply at all;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;Does not apply at all;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;Missing traceability;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Please make a selection;Please make a selection;Please make a selection;We sometimes implement functions without making/changing documents.;We sometimes implement extra functions in research projects.;NotShown;NotShown;NotShown;NotAnswered;NotAnswered;NotShown;NotShown;NotShown;Nothing;Since systems we developed face the natural environment, several unexpected events occur.  We should establish requirements analysis techniques to deal with requirements related to uncertain environment.   
33;English;Argentina;5;Manufacturing;NotAnswered;Software-intensive embedded systems;NotAnswered;quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Yes;Project Lead / Project Manager;NotAnswered;3;NotAnswered;Customer;NotAnswered;Plan-driven;Very good;NotShown;NotAnswered;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Business Analyst;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;NotAnswered;NotShown;NotAnswered;NotAnswered;NotAnswered;NotShown;NotAnswered;NotAnswered;NotShown;quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;NotAnswered;NotAnswered;NotAnswered;Does not apply at all;Does not apply at all;Does rather not apply;Does rather not apply;Does not apply at all;Neutral;Rather applies;Does rather not apply;Does rather not apply;Neutral;Neutral;Neutral;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does rather not apply;Does not apply at all;0;Does not apply at all;Communication flaws between the project and the customer;Communication flaws within the project team;Weak knowledge about customer's application domain;Inconsistent requirements;Missing traceability;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
35;English;Argentina;130;Healthcare;NotAnswered;Business information systems;NotAnswered;quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;NotAnswered;No;Business Analyst;NotAnswered;6;no;Main contractor (main responsible for the development project);NotAnswered;Rather agile;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;Other;Engineering Manager ;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;some specifications may got lost throught iterations;haveing excited customers that love to use the product;the development team got more receptive;Rather applies;Neutral;Strongly applies;Does rather not apply;Rather applies;Neutral;Does rather not apply;Does not apply at all;Does not apply at all;Neutral;Does not apply at all;Does not apply at all;Does not apply at all;Neutral;Strongly applies;Does rather not apply;Neutral;Neutral;Does rather not apply;Does not apply at all;Time boxing / Not enough time in general;Insufficient support by project lead;Communication flaws within the project team;Moving targets (changing goals, business processes and / or requirements);Communication flaws between the project and the customer;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;extremly small team for a World wide project;"lack of experience in software develoment; lack of experience in digital companies (4.0)";"lack of experience in software develoment; lack of experience in digital companies (4.0)";inmature customer industry;lack of time; ; 
41;English;United States;4;Human resources;NotAnswered;Business information systems;NotAnswered;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;No;Architect;NotAnswered;0;No;In-house development;NotAnswered;Hybrid;neutral;NotShown;NotShown;quoted;quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Nobody has the primary responsibility;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;NotShown;Proper documentation and software techniques;NotShown;Not sure;Testing;NotShown;NotShown;Customer reports on prototypes;NotShown;quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;We are still in the phase of gathering requirements. It is going well so far, but there are a few unclear points that I'd like to see clarified soon.;Satisfying requirements engineering help to build a better, more robust piece of software that is easier to maintain and will meet customer needs as adequately as possible. This may extend the project in the short term, but will enhance its maintainability in the long term.;At least there were some requirements and it was not simply a  build this!  type project where requirements were not well-defined. Some formal requirements are better than none.;Does not apply at all;Neutral;Neutral;Does rather not apply;Does not apply at all;Neutral;Neutral;Does not apply at all;Rather applies;Does not apply at all;Does rather not apply;Does not apply at all;Neutral;Does not apply at all;Rather applies;Does not apply at all;Does not apply at all;Does rather not apply;Rather applies;Does not apply at all;Time boxing / Not enough time in general;Unclear / unmeasurable non-functional requirements;Terminological problems;Missing traceability;Stakeholders with difficulties in separating requirements from previously known solution designs;We've been given a very tight deadline with no recourse if not completed by the deadline;It is difficult to measure usability without lots of beta testing, which we do not have the means to do at this time;Some people in the group have learned different ways of speaking in terms of software engineering and requirements analysis, which is making it difficult to properly document our project.;Someone in our group is going off and making code decisions on their own and attempting to push it to production. We have told this person twice now to stop and to wait for the team to decide if it fits our requirements, but it is not helping.;We are basing our project off of another app that we have used, but we are trying to make it better - this makes it difficult to see our innovation as the customers are used to the old apps;The project will probably only be about 90% done by the deadline;While we will try our best to ensure our non-functional requirements are adequate, we cannot guarantee certain response times/usability;This simply makes the process of creating the software harder. It is overcome via proper communication.;Again, this simply makes the process of creating the software harder. It will have no effect on the final product.;This will have no effect on the final product, but it may decrease customer satisfaction initially.;NotApplicable;Nope!
48;English;United States;25;Other (please specify);Satellites;Software-intensive embedded systems;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Developer;NotAnswered;1;BS in Computer Science;Main contractor (main responsible for the development project);NotAnswered;Plan-driven;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Customer;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;NotShown;Using a tool (PTC Integrity);NotShown;NotShown;Test procedures;NotShown;Test procedures (checklist);Using a tool (PTC Integrity);NotShown;not quoted;quoted;quoted;not quoted;not quoted;not quoted;quoted;Regression/formal tests;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We don't update our requirements (documentation) at all.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Neutral;Neutral;Neutral;Neutral;Does not apply at all;Does not apply at all;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Terminological problems;Underspecified requirements that are too abstract and allow for various interpretations;Missing traceability;Stakeholders with difficulties in separating requirements from previously known solution designs;Communication flaws between the project and the customer;Confusion with what the customer wants;Causes assumptions of what should be implemented because too vague;Losing track of where requirements are located. Causes developer to assume;If requirements are too vague, developer often implement changes by going off own ideas;Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotApplicable
56;English;United States;7;Other (please specify);Software Development;Software-intensive embedded systems;NotAnswered;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Developer;NotAnswered;4;NotAnswered;Customer;NotAnswered;Agile;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Business Analyst;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotShown;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests, but do not further update our requirements specification once formally accepted.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;NotAnswered;NotAnswered;NotAnswered;Neutral;Neutral;Rather applies;Rather applies;Strongly applies;Strongly applies;Strongly applies;Strongly applies;Strongly applies;Neutral;0;Rather applies;Rather applies;Rather applies;Neutral;Neutral;Rather applies;0;Rather applies;Rather applies;Inconsistent requirements;Unclear / unmeasurable non-functional requirements;Incomplete or hidden requirements;Communication flaws within the project team;Moving targets (changing goals, business processes and / or requirements);NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
58;English;Germany;40;Healthcare;NotAnswered;Business information systems;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;NotAnswered;Yes;Requirements Engineer;NotAnswered;4;IREB Foundation;Sub-contractor (responsible for part of a larger development project);NotAnswered;Hybrid;Bad;NotShown;NotShown;quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Product Manager;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;NotShown;NotShown;textual (templates);NotShown;NotShown;textual (templates);NotShown;NotShown;NotShown;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;We work with change requests, but do not further update our requirements specification once formally accepted.;NotAnswered;Very dissatisfied;"Project culture focusses only on development, not on requirements and tests; no direct contact with users; no close collaboration within the project team";frustration & expensive correction cycles & political discussions;Early collaboration between customer, RE, development and test;NotShown;NotShown;NotShown;Strongly applies;Strongly applies;Rather applies;Rather applies;Neutral;Rather applies;Rather applies;Neutral;Neutral;Does rather not apply;Neutral;Strongly applies;Rather applies;Rather applies;Neutral;Does not apply at all;Neutral;Neutral;Rather applies;Does rather not apply;Communication flaws between the project and the customer;Weak access to customer needs and / or (internal) business information;Communication flaws within the project team;Weak knowledge about customer's application domain;Incomplete or hidden requirements;mistrust;"business as usual; always worked this way";mistrust;"business as usual; always worked this way";"business as usual; always worked this way";missing information;missing information;no information flow;missing information;missing information;NotAnswered;Wrong-understood  agility  as a pseudo-solution for deeper problems
75;English;United States;185;Human resources;NotAnswered;Business information systems;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Project Lead / Project Manager;NotAnswered;25;CBAP, SAFe Agilist;Customer;NotAnswered;Rather agile;Very good;NotShown;Sense of community as found on collaboration, networking, and importance of initiative.;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Business Analyst;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;NotShown;NotShown;user story;NotShown;NotShown;NotShown;NotShown;user story;NotShown;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;Because it is working;sustainability;retrospective highlighted where we could improve and we did ;Neutral;Neutral;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Neutral;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Neutral;Insufficient support by customer;Weak relationship between customer and project lead;Weak knowledge about customer's application domain;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Communication flaws within the project team;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
76;English;Canada;10 in detailed business analysis ;Public sector;NotAnswered;Business information systems;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;No;Business Analyst;NotAnswered;Over 25 ;No;Customer;NotAnswered;Hybrid;neutral;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Product Owner;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;NotShown;Qualified textual requirements tagged as non functional in solution;NotShown;NotShown;Same as Maintainability above;NotShown;Same as above plus business rules use case diagrams and process flows, non-qualified detailed requirement ;Use case diagrams, textual requirements,use cases, business rules;NotShown;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;quoted;Use cases are the base for development of uat cases;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Dissatisfied;Corporate tool imposed on project has flaws and limitations that cause delays. Team is large and mostly made up of very junior analysts who have no prior experience of business analysis;Delays and frustration for team members;Listen to BA team in selection of tool rather than impose corporate solution;NotShown;NotShown;NotShown;Does rather not apply;Neutral;Neutral;Neutral;Rather applies;Does not apply at all;Rather applies;Does rather not apply;Does not apply at all;Does rather not apply;Does not apply at all;Does not apply at all;Does not apply at all;Does not apply at all;Rather applies;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Time boxing / Not enough time in general;Moving targets (changing goals, business processes and / or requirements);Stakeholders with difficulties in separating requirements from previously known solution designs;Terminological problems;Please make a selection;Management commitment irrespective of plan;Lack of corporate maturity in defining its vision;Typical behaviour/issue. ;Specific usage of terms in context;NotShown;"Adding resources; stressed team";"Redefinition of project scope; re-evaluation of needs and requirements";"Education process in place; reiteration of focus";Glossary in place;NotShown;No;No
79;English;Bulgaria;8;Human resources;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Yes;Business Analyst;NotAnswered;6;IREB_CPRE_Foundation_Level;Sub-contractor (responsible for part of a larger development project);NotAnswered;Agile;Very good;NotShown;Technical expertise, adequate customer relations;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Product Owner;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;NotAnswered;not quoted;quoted;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;NotShown;Non functional requirements chapter at the end of each concerned story;Non functional requirements chapter at the end of each concerned story;Non functional requirements chapter at the end of each concerned story;Non functional requirements chapter at the end of each concerned story;Non functional requirements chapter at the end of each concerned story;In the story text;Non functional requirements chapter at the end of each concerned story;NotShown;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Very satisfied;NotShown;NotShown;NotShown;Everything is standardized and documented and discussed.;Better productivity, happier teams and customers.;NotAnswered;Neutral;Does rather not apply;Neutral;Rather applies;Does not apply at all;Does not apply at all;Does not apply at all;Does rather not apply;Does not apply at all;Rather applies;Neutral;Does not apply at all;Does not apply at all;Does not apply at all;Does rather not apply;Does not apply at all;Does not apply at all;Does rather not apply;Does rather not apply;Does not apply at all;Moving targets (changing goals, business processes and / or requirements);Gold plating (implementation of features without corresponding requirements);Inconsistent requirements;Time boxing / Not enough time in general;Unclear / unmeasurable non-functional requirements;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
